galaxy_ID,r90
10497-3703,13.927414894104004
10497-3704,9.473127365112305
10497-6101,8.874866485595703
10497-6102,19.292171478271484
10497-6103,13.595369338989258
10497-6104,7.845780372619629
10497-9101,23.192094802856445
10497-9102,24.795759201049805
10498-12701,18.008630752563477
10498-12702,19.056196212768555
10498-12703,44.54616165161133
10498-12704,16.391660690307617
10498-12705,28.516521453857422
10498-1901,0.0
10498-1902,13.73888111114502
10498-3701,13.483841896057129
10498-3702,23.423933029174805
10498-3703,9.548458099365234
10498-3704,7.19083309173584
10498-6101,15.170371055603027
10498-6102,12.979470252990723
10498-6103,14.713349342346191
10498-6104,9.229211807250977
10498-9101,15.802523612976074
10498-9102,26.220972061157227
10499-12701,33.57429122924805
10499-12702,37.24915313720703
10499-12703,48.8529052734375
10499-12704,11.43921184539795
10499-12705,29.342973709106445
10499-1901,36.86030960083008
10499-1902,37.48635482788086
10499-3701,38.55260467529297
10499-3702,9.714707374572754
10499-3703,8.4939603805542
10499-3704,18.129928588867188
10499-6101,11.75477123260498
10499-6102,14.518251419067383
10499-6103,11.768224716186523
10499-6104,21.79498291015625
10499-9101,25.52164649963379
10499-9102,10.744222640991211
10500-12701,15.17535400390625
10500-12702,14.842632293701172
10500-12703,16.219324111938477
10500-12704,11.923895835876465
10500-12705,31.991823196411133
10500-1901,22.64324188232422
10500-1902,4.183395862579346
10500-3701,14.185283660888672
10500-3702,8.581510543823242
10500-3703,6.799661159515381
10500-3704,9.810651779174805
10500-6101,14.698092460632324
