galaxy_ID,smoothness
10843-1901,1.049234478
10843-1902,2.641362672
10843-3701,1.547877108
10843-3702,0.468061713
10843-3703,0.90005665
10843-3704,2.422300468
10843-6101,2.232921187
10843-6102,1.840833986
10843-6103,1.310332214
10843-6104,1.270628351
10843-9101,1.338152855
10843-9102,1.362885087
10844-12701,1.371684678
10844-12702,0.9891024
10844-12703,2.566058211
10844-12704,2.506204157
10844-12705,1.332303927
10844-1901,0.719507252
10844-1902,1.632301289
10844-3701,2.584827694
10844-3702,2.911076324
10844-3703,0.565977915
10844-3704,2.775034144
10844-6101,1.447488323
10844-6102,2.539562464
10844-6103,2.293037738
10844-6104,2.505308287
10844-9101,0.960997448
10844-9102,2.497480565
10845-12701,2.016742941
10845-12702,0.965232838
10845-12703,1.685481377
10845-12704,1.151177571
10845-12705,0.716858317
10845-1901,2.97453753
10845-1902,1.824577837
10845-3701,2.225483562
10845-3702,2.393181864
10845-3703,2.254506177
10845-3704,2.275963496
10845-6101,0.956192133
10845-6102,0.837933794
10845-6103,1.605461686
10845-6104,1.553717107
10845-9101,1.409016369
10845-9102,0.517437322
