galaxy_ID,Mb,Md,Mh_r90,Mh_2r90,Mh_3r90,M_HI,M_HII,Mtot_r90,Mtot_2r90,Mtot_3r90,NSA_Mstar,Mtot_(star_HI_Hii),M_h1,M_h2
9499-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9315470000.0,nan,nan,nan
9499-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,812443000.0,nan,nan,nan
9499-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9483290000.0,nan,nan,nan
9499-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21412600000.0,nan,nan,nan
9499-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13959700000.0,nan,nan,nan
9499-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,47679300000.0,nan,nan,nan
9499-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,27413300000.0,nan,nan,nan
9499-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17856900000.0,nan,nan,nan
9499-9102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-9999.0,nan,nan,nan
9500-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7377930000.0,nan,nan,nan
9500-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17829700000.0,nan,nan,nan
9500-12703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,63143300000.0,nan,nan,nan
9500-12704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14630700000.0,nan,nan,nan
9500-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,97986500000.0,nan,nan,nan
9500-1901,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8812570000.0,nan,nan,nan
9500-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2095650000.0,nan,nan,nan
9500-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15487000000.0,nan,nan,nan
9500-3702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,691593000.0,nan,nan,nan
9500-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32120000000.0,nan,nan,nan
9500-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,37143200000.0,nan,nan,nan
9500-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6710620000.0,nan,nan,nan
9500-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20387100000.0,nan,nan,nan
9500-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70480700000.0,nan,nan,nan
9500-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1759630000.0,nan,nan,nan
9500-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1576340000.0,nan,nan,nan
9500-9102,20219345970.248497,10660995819734.756,14169272.14080262,40970264.67543103,63961166.94337197,nan,nan,10681229334977.145,10681256135969.68,10681279126871.947,7321420000.0,7321420000.0,0.0,1e-99
9501-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7292160000.0,nan,nan,nan
9501-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,645853000.0,nan,nan,nan
