galaxy_ID,rho0_b,Rb,SigD,Rd,rho0_h,Rh,incl,phi,x_cen,y_cen,Vsys,chi2
9037-6103,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-6104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9037-9101,0.325819504,6.441167149,1506.222188,24.8240342,-6.999949598,0.646027056,0.100050605,3.062525074,42.99995995,31.79998146,7.735873626,348.079387
9037-9102,0.63104205,5.134687643,1825.260333,5.559263541,0.696252246,0.235191476,0.130758313,1.564996901,33.00000003,42.00008536,8.0624723,155.7782652
9038-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9038-12702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9038-12703,-1.454853399,3.32404073,938.0959998,5.312764804,-1.433701042,4.108621145,0.618034558,2.726966106,37.45545834,36.80059393,-0.959871775,14.29948449
9038-12704,-0.119438878,0.159624937,0.100685088,29.99999123,-1.746173916,999.9990757,0.654603802,3.154889311,33.23515464,37.15289118,0.873957491,3.460060747
9038-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9038-1901,0.999956174,1.466969086,0.100055535,29.99994442,-6.999949835,995.5545543,0.100050605,2.656700177,26.99995973,11.89004497,11.48938931,176.8633322
9038-1902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9038-3701,-1.434684517,3.224741378,782.6399307,12.17577321,-1.430129993,1.17591585,0.538262504,1.123694795,21.43829717,19.96771537,-1.837322555,8.673455482
9038-3702,-1.317308714,3.819660113,1145.959837,11.52078374,-3.562305899,382.0278146,0.146708028,2.639959553,12.00004035,12.00004035,-17.10184378,5182.82165
9038-3703,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9038-3704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9038-6101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9038-6102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
