# %ECSV 0.9
# ---
# datatype:
# - {name: MaNGA_plate, datatype: int64}
# - {name: MaNGA_IFU, datatype: int64}
# - {name: NSAID, datatype: int64}
# - {name: ra, unit: deg, datatype: float64}
# - {name: dec, unit: deg, datatype: float64}
# - {name: redshift, datatype: float64}
# - {name: ba, datatype: float64}
# - {name: phi, unit: deg, datatype: float64}
# - {name: Mstar, unit: solMass, datatype: float64}
# - {name: rabsmag, datatype: float64}
# - {name: plate, datatype: int64}
# - {name: MJD, datatype: int64}
# - {name: fiberID, datatype: int64}
# - {name: index, datatype: int64}
# - {name: imc, datatype: float64}
# - {name: aimc, datatype: float64}
# - {name: smoothness_score, datatype: float64}
# - {name: logHI, unit: dex(solMass), datatype: float64}
# - {name: WF50, unit: km / s, datatype: float64}
# - {name: WP20, unit: km / s, datatype: float64}
# meta: !!omap
# - __serialized_columns__:
#     Mstar:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: solMass}
#       value: !astropy.table.SerializedColumn {name: Mstar}
#     WF50:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WF50}
#     WP20:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: km / s}
#       value: !astropy.table.SerializedColumn {name: WP20}
#     dec:
#       __class__: astropy.units.quantity.Quantity
#       unit: &id001 !astropy.units.Unit {unit: deg}
#       value: !astropy.table.SerializedColumn {name: dec}
#     logHI:
#       __class__: astropy.units.function.logarithmic.Dex
#       unit: !astropy.units.Unit {unit: dex(solMass)}
#       value: !astropy.table.SerializedColumn {name: logHI}
#     phi:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: phi}
#     ra:
#       __class__: astropy.units.quantity.Quantity
#       unit: *id001
#       value: !astropy.table.SerializedColumn {name: ra}
# schema: astropy-2.0
MaNGA_plate MaNGA_IFU NSAID ra dec redshift ba phi Mstar rabsmag plate MJD fiberID index imc aimc smoothness_score logHI WF50 WP20
8322 1901 674210 198.784245451 30.4037749681 0.0231544 0.826667 63.2361 10263300000.0 -19.7823 2104 53852 218 1976460 1.0 2.0 0.5424652483961744 -999.0 -1775.395725204719 -1775.395725204719
8322 3702 611534 200.120280018 31.3519930682 0.0464059 0.909524 99.2438 59468000000.0 -21.5623 6490 56330 190 -1 -1.0 -1.0 2.1891368372773745 -999.0 -2403.4563084994697 -2403.4563084994697
8322 3704 424984 200.305919224 30.4781117192 0.0366007 0.568823 38.8825 2986330000.0 -18.3282 2002 53471 526 1944953 2.0 21.34 1.2555347078052157 -999.0 -1214.648787828896 -1214.648787828896
8322 6103 443168 199.338732164 31.0593789008 0.01857 0.74102 90.9474 3074650000.0 -18.9225 2104 53852 195 1937770 2.0 55.45 0.5758256034617044 -999.0 -1487.7518360466358 -1487.7518360466358
7964 6101 189646 316.590372742 -0.771234643933 0.0486859 0.982276 95.3416 35152100000.0 -21.2495 985 52431 217 1686778 2.0 28.64 0.6786671764445755 nan nan nan
7964 12704 189755 316.558543445 0.0977985517842 0.0505929 0.336035 66.8974 48362400000.0 -21.3939 985 52431 474 -1 -1.0 -1.0 0.7023115644941816 nan nan nan
7964 12702 189372 315.22361169 -0.387635135548 0.0795422 0.666319 15.2983 59940400000.0 -21.6214 984 52442 114 1687615 2.0 14.07 0.8804406060112847 nan nan nan
7964 9101 189781 316.974767372 0.875871263961 0.058071 0.608998 115.904 19211200000.0 -20.8385 985 52431 539 1691003 2.0 56.22 0.5988983129745323 nan nan nan
7964 3701 189540 316.214011549 0.632260258808 0.0479807 0.92484 25.2755 17074800000.0 -20.2682 984 52442 602 1720240 1.0 1.0 2.0938963112256204 nan nan nan
7964 12703 189814 317.446669797 0.361399822222 0.0473295 0.751964 15.7547 14493500000.0 -20.0909 985 52431 594 1716274 1.0 1.0 1.8474382672991072 nan nan nan
7964 12705 189385 315.165156968 -0.210295711163 0.0240206 0.291294 177.06 3257600000.0 -18.5843 984 52442 156 1687608 2.0 19.61 1.1217340662859487 nan nan nan
7964 1902 189978 317.422612159 0.627769409147 0.0241526 0.966832 141.36 2648350000.0 -18.3236 986 52443 340 1689623 1.0 2.0 1.8732517575754704 nan nan nan
7964 1901 189632 316.649004921 -0.339938102293 0.0672434 0.913046 168.979 37427300000.0 -21.2468 985 52431 193 1687689 1.0 2.0 2.2937463515297662 nan nan nan
7964 3704 189657 316.251700144 -0.933283770977 0.0175905 0.914136 178.985 868437000.0 -17.8698 985 52431 250 1707995 2.0 72.16 0.7612969031700721 nan nan nan
7964 6103 189367 315.474938976 -0.304685068032 0.0489374 0.855118 100.147 19903500000.0 -20.445 984 52442 108 1687628 1.0 2.0 2.051311637483082 nan nan nan
7964 3702 189496 315.016737111 0.1983852532 0.0512748 0.90019 80.4043 19865500000.0 -20.3692 984 52442 481 750649 1.0 1.0 2.0673760222424145 nan nan nan
7964 3703 189809 317.446549691 0.266063321564 0.0502253 0.624475 148.47 20625500000.0 -20.4196 985 52431 588 1716273 1.0 1.0 1.7715693990982586 nan nan nan
7964 12701 189493 314.60971 0.18089 0.0236192 0.776851 46.7993 2651390000.0 -18.6855 984 52442 474 750635 2.0 65.27 0.931980564283288 nan nan nan
7964 6104 189608 317.040159187 -0.250805612163 0.0947238 0.881004 8.69489 70799300000.0 -21.8629 985 52431 142 1687702 2.0 18.01 0.6912835493760757 nan nan nan
7964 6102 189645 316.532924677 -0.799036854592 0.0347519 0.566581 168.681 1090980000.0 -18.4307 985 52431 213 1686774 2.0 70.58 0.602838301864756 nan nan nan
7964 9102 189975 317.314914547 0.523469299067 0.0507102 0.861536 50.1205 67442500000.0 -21.8304 986 52443 336 1689607 1.0 2.0 0.742499990523411 nan nan nan
8325 1901 249092 212.796479368 46.3905494068 0.0407574 0.739135 161.409 5394660000.0 -19.072 1286 52725 101 895648 1.0 2.0 1.7574413066007653 -999.0 -1483.170003582121 -1483.170003582121
8325 3704 249163 211.478409084 45.644675495 0.0402777 0.882514 104.593 4420730000.0 -18.8878 1286 52725 243 1208440 1.0 2.0 1.1008973413584184 nan nan nan
